69744	2018.04.15	14:01:14.640	3	315	0065-0141845229	
69745	2018.04.15	14:01:15.015	4	406	0065-0141845229	
69746	2018.04.15	14:01:28.467	5	454	0065-0141845229	
69747	2018.04.15	14:01:28.896	6	442	0065-0141845229	
69748	2018.04.15	14:01:31.341	6	343	0065-0141845229	
69749	2018.04.15	14:01:31.775	5	753	0065-0141845229	
69750	2018.04.15	14:01:32.654	5	214	0065-0141845229	
69751	2018.04.15	14:02:10.208	4	308	0065-0141845229	
69752	2018.04.15	14:02:10.577	3	406	0065-0141845229	
69753	2018.04.15	14:02:11.763	2	311	0065-0141845229	
69754	2018.04.15	14:02:12.165	1	320	0065-0141845229	
69755	2018.04.15	14:02:13.580	8	342	0065-0141845229	
69756	2018.04.15	14:02:14.024	7	802	0065-0141845229	
69757	2018.04.15	14:03:13.373	7	216	0065-0141845229	
69758	2018.04.15	14:03:13.677	7	507	0065-0141845229	
69759	2018.04.15	14:03:14.607	8	1703	0065-0141845229	
69760	2018.04.15	14:03:16.829	8	625	0065-0141845229	
69761	2018.04.15	14:03:18.427	8	315	0065-0141845229	
69762	2018.04.15	14:03:18.854	7	694	0065-0141845229	
69763	2018.04.15	14:03:20.209	6	428	0065-0141845229	
69764	2018.04.15	14:03:20.687	5	628	0065-0141845229	
69765	2018.04.15	14:03:26.078	4	313	0065-0141845229	
69766	2018.04.15	14:03:26.439	3	508	0065-0141845229	
69767	2018.04.15	14:03:27.414	2	313	0065-0141845229	
69768	2018.04.15	14:03:27.680	1	318	0065-0141845229	
69769	2018.04.15	14:03:29.550	8	309	0065-0141845229	
69770	2018.04.15	14:03:29.848	7	919	0065-0141845229	
69771	2018.04.15	14:04:50.324	7	503	0065-0141845229	
69772	2018.04.15	14:04:50.954	8	641	0065-0141845229	
69773	2018.04.15	14:04:52.280	8	423	0065-0141845229	
69774	2018.04.15	14:04:52.848	7	915	0065-0141845229	
69775	2018.04.15	14:07:30.636	7	498	0065-0141845229	
69776	2018.04.15	14:07:31.189	8	419	0065-0141845229	
69777	2018.04.15	14:07:32.852	8	331	0065-0141845229	
69778	2018.04.15	14:07:33.224	7	440	0065-0141845229	
69779	2018.04.15	14:07:45.706	7	417	0065-0141845229	
69780	2018.04.15	14:07:46.134	8	348	0065-0141845229	
69781	2018.04.15	14:07:47.617	8	317	0065-0141845229	
69782	2018.04.15	14:07:47.991	7	443	0065-0141845229	
69783	2018.04.15	14:08:05.402	5	1396	0065-0136662876	
69784	2018.04.15	14:08:07.101	6	2929	0065-0136662876	
69785	2018.04.15	14:08:12.839	7	504	0065-0136662876	
69786	2018.04.15	14:08:14.464	8	1874	0065-0136662876	
69787	2018.04.15	14:08:17.452	1	338	0065-0136662876	
69788	2018.04.15	14:08:18.064	2	402	0065-0136662876	
69789	2018.04.15	14:08:20.711	3	312	0065-0136662876	
69790	2018.04.15	14:08:21.297	4	421	0065-0136662876	
69791	2018.04.15	14:09:15.882	7	533	0065-0141845229	
69792	2018.04.15	14:09:16.708	8	417	0065-0141845229	
69793	2018.04.15	14:09:18.242	8	317	0065-0141845229	
