135744	2018.04.17	11:23:53.674	1	341	0065-0136665967	
135745	2018.04.17	11:23:54.023	2	711	0065-0136665967	
135746	2018.04.17	11:24:01.402	2	344	0065-0136665967	
135747	2018.04.17	11:24:01.792	1	611	0065-0136665967	
135748	2018.04.17	11:24:11.006	8	351	0065-0136665967	
135749	2018.04.17	11:24:11.307	7	910	0065-0136665967	
135750	2018.04.17	11:24:13.463	6	502	0065-0136665967	
135751	2018.04.17	11:24:14.122	5	1905	0065-0136665967	
135752	2018.04.17	12:03:52.321	5	1688	0065-0136659870	
135753	2018.04.17	12:03:54.069	6	439	0065-0136659870	
135754	2018.04.17	12:03:54.890	7	307	0065-0136659870	
135755	2018.04.17	12:03:55.155	8	213	0065-0136659870	
