29230	2018.04.13	23:00:38.211	2	7086	0065-0136669247	
29231	2018.04.13	23:00:45.369	2	716	0065-0141848392	
29232	2018.04.13	23:00:46.079	1	901	0065-0136669247	
29233	2018.04.13	23:00:47.038	1	694	0065-0141848392	
29234	2018.04.13	23:00:49.795	3	437	0065-0136659870	
29235	2018.04.13	23:00:50.712	4	602	0065-0136659870	
29236	2018.04.13	23:00:52.872	7	453	0065-0141845229	
29237	2018.04.13	23:00:53.604	8	599	0065-0141845229	
29238	2018.04.13	23:00:56.739	5	527	0065-0136659870	
29239	2018.04.13	23:00:57.522	6	632	0065-0136659870	
29240	2018.04.13	23:01:00.923	1	405	0065-0141845229	
29241	2018.04.13	23:01:01.269	2	839	0065-0136656647	
29242	2018.04.13	23:01:02.119	2	219	0065-0141845229	
29243	2018.04.13	23:01:02.388	2	406	0065-0141845229	
29244	2018.04.13	23:01:02.836	2	219	0065-0136656647	
29245	2018.04.13	23:01:03.696	3	220	0065-0141845229	
29246	2018.04.13	23:01:03.448	1	1685	0065-0136656647	
29247	2018.04.13	23:01:04.023	4	1817	0065-0141845229	
29248	2018.04.13	23:01:10.353	7	600	0065-0136659870	
29249	2018.04.13	23:01:11.150	8	405	0065-0136659870	
29250	2018.04.13	23:01:16.534	1	412	0065-0136656647	
29251	2018.04.13	23:01:17.219	2	808	0065-0136656647	
29252	2018.04.13	23:01:17.989	1	355	0065-0136662876	
29253	2018.04.13	23:01:18.193	2	465	0065-0136656647	
29254	2018.04.13	23:01:18.721	2	653	0065-0136669247	
29255	2018.04.13	23:01:19.408	2	213	0065-0136662876	
29256	2018.04.13	23:01:21.980	2	407	0065-0136662876	
29257	2018.04.13	23:01:22.463	1	311	0065-0136662876	
29258	2018.04.13	23:01:24.668	1	552	0065-0136669007	
29259	2018.04.13	23:01:25.575	2	657	0065-0136669007	
29260	2018.04.13	23:01:26.191	3	308	0065-0136656647	
29261	2018.04.13	23:01:26.651	4	721	0065-0136656647	
29262	2018.04.13	23:01:29.770	3	339	0065-0136669247	
29263	2018.04.13	23:01:30.003	2	433	0065-0136669007	
29264	2018.04.13	23:01:29.649	5	1143	0065-0136656647	
29265	2018.04.13	23:01:30.468	1	528	0065-0136669007	
29266	2018.04.13	23:01:31.281	6	639	0065-0136656647	
29267	2018.04.13	23:01:31.716	8	317	0065-0136669007	
29268	2018.04.13	23:01:32.183	7	550	0065-0136669007	
29269	2018.04.13	23:01:30.566	4	3463	0065-0136669247	
29270	2018.04.13	23:01:33.726	6	324	0065-0136656647	
29271	2018.04.13	23:01:34.061	5	531	0065-0136656647	
29272	2018.04.13	23:01:34.604	5	312	0065-0136669007	
29273	2018.04.13	23:01:36.027	5	706	0065-0136669247	
29274	2018.04.13	23:01:39.256	5	214	0065-0136669007	
29275	2018.04.13	23:01:39.926	6	1504	0065-0136669007	
29276	2018.04.13	23:01:54.149	2	708	0065-0136656003	
29277	2018.04.13	23:01:55.075	1	814	0065-0136656003	
29278	2018.04.13	23:01:57.974	7	410	0065-0136669247	
29279	2018.04.13	23:01:58.466	8	627	0065-0136669247	
29280	2018.04.13	23:02:00.304	8	712	0065-0136669247	
29281	2018.04.13	23:02:01.426	7	2183	0065-0136669247	
29282	2018.04.13	23:02:05.337	4	507	0065-0136656647	
29283	2018.04.13	23:02:05.992	3	617	0065-0136656647	
29284	2018.04.13	23:02:15.930	2	220	0065-0136656647	
29285	2018.04.13	23:02:16.263	1	435	0065-0136656647	
29286	2018.04.13	23:02:25.669	6	313	0065-0136669007	
29287	2018.04.13	23:02:26.200	5	659	0065-0136669007	
29288	2018.04.13	23:02:42.537	4	315	0065-0136669007	
29289	2018.04.13	23:02:42.994	3	427	0065-0136669007	
29290	2018.04.13	23:02:43.435	8	903	0065-0136662876	
29291	2018.04.13	23:02:44.557	7	708	0065-0136662876	
29292	2018.04.13	23:02:54.860	6	341	0065-0136669247	
29293	2018.04.13	23:02:55.258	5	819	0065-0136669247	
29294	2018.04.13	23:02:57.849	8	523	0065-0136656647	
29295	2018.04.13	23:02:58.440	8	434	0065-0136656003	
29296	2018.04.13	23:02:59.241	7	707	0065-0136656003	
29297	2018.04.13	23:03:00.532	6	312	0065-0136662876	
29298	2018.04.13	23:03:00.963	6	228	0065-0136656003	
29299	2018.04.13	23:03:00.964	5	460	0065-0136662876	
29300	2018.04.13	23:03:01.267	6	310	0065-0136656647	
29301	2018.04.13	23:03:01.459	5	412	0065-0136656003	
29302	2018.04.13	23:03:02.066	5	1528	0065-0136656647	
29303	2018.04.13	23:03:03.565	4	211	0065-0136656003	
29304	2018.04.13	23:03:04.213	3	518	0065-0136656003	
29305	2018.04.13	23:03:06.402	3	327	0065-0136669007	
29306	2018.04.13	23:03:06.841	4	1140	0065-0136669007	
29307	2018.04.13	23:03:08.127	3	512	0065-0136669007	
29308	2018.04.13	23:03:08.718	3	651	0065-0136656003	
29309	2018.04.13	23:03:08.952	2	815	0065-0136669247	
29310	2018.04.13	23:03:09.302	4	900	0065-0136665967	
